2013/0206192-000 ; 8661 ; 1981 ; 2013259381 ; 05/03/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0022571-000 ; 8661 ; 1981 ; 1113253985 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0023230-000 ; 8661 ; 1981 ; 1113255635 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0011109-000 ; 8652 ; 1981 ; 1113255263 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0012845-000 ; 8661 ; 1981 ; 1113255322 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0013080-000 ; 8661 ; 1981 ; 1113256614 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0020013-000 ; 8661 ; 1981 ; 1113255492 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2013/0227161-000 ; 8661 ; 1981 ; 1113256514 ; 05/03/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0019164-000 ; 8661 ; 1981 ; 7013257092 ; 28/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0017537-000 ; 8661 ; 1981 ; 1113256328 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0021293-000 ; 8661 ; 1981 ; 7113260237 ; 05/03/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0022199-000 ; 8661 ; 1981 ; 1113263694 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0021293-000 ; 8661 ; 1981 ; 7013256613 ; 05/03/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0008018-000 ; 8661 ; 1981 ; 1113256733 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0022313-000 ; 8652 ; 1981 ; 1113256866 ; 27/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0021339-000 ; 8661 ; 1981 ; 1113260284 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0015728-000 ; 8661 ; 1981 ; 1113257435 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0016374-000 ; 8661 ; 1981 ; 1113256676 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0021683-000 ; 8652 ; 1981 ; 1113256824 ; 27/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0014050-000 ; 8661 ; 1981 ; 1113260305 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2010/0321969-000 ; 8661 ; 1981 ; 1313264150 ; 05/03/2014 ; Subsídio Processual ; Documento ; Analisado
2013/0039113-000 ; 8661 ; 1981 ; 1313260472 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0015943-000 ; 8661 ; 1981 ; 1113259323 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0023259-000 ; 8661 ; 1981 ; 1113257867 ; 28/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0013595-000 ; 8661 ; 1981 ; 1113260429 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2010/0139284-000 ; 8661 ; 1981 ; 1313257491 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0015692-000 ; 8661 ; 1981 ; 1113257812 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
